City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
473,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
474,Moissala,TD,71.55,clear sky,8.3404,17.7663,
477,Formosa Do Rio Preto,BR,72.1,few clouds,-11.0483,-45.1931,Porto Center Hotel
480,Tema,GH,80.89,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
483,Sao Filipe,CV,79.38,overcast clouds,14.8961,-24.4956,Hotel Xaguate
484,Dubai,AE,72.21,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
491,Caruray,PH,80.73,broken clouds,10.3094,119.0128,
495,Port Keats,AU,87.33,moderate rain,-14.25,129.55,TDC Village (Hundred Man Camp)
503,Itacarambi,BR,72.46,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
504,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
510,Sarangani,PH,81.66,overcast clouds,5.4033,125.4636,Ballistic Islet
512,Mocuba,MZ,70.63,overcast clouds,-16.8392,36.9856,Phama Lodge
513,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
518,Na Wa,TH,80.24,broken clouds,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
526,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
528,Namatanai,PG,84.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
536,Tawau,MY,79.18,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
537,Ranong,TH,77.67,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
538,Yenagoa,NG,78.3,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
541,Mamallapuram,IN,79.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
542,Majene,ID,75.83,light rain,-3.5403,118.9707,Kost Putri RABBANI
544,San Rafael Del Sur,NI,81.34,clear sky,11.8485,-86.4384,Hospedaje El Chino
551,Townsville,AU,85.08,scattered clouds,-19.25,146.8,Rydges Southbank Townsville
553,Antalaha,MG,72.27,clear sky,-14.9003,50.2788,Hotel Vitasoa
555,Touros,BR,81.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
562,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
570,Axim,GH,78.24,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
572,Salinopolis,BR,78.15,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
573,Luanda,AO,75.18,overcast clouds,-8.8368,13.2343,Hotel Fórum
576,Sao Francisco,BR,71.38,light rain,-15.9486,-44.8644,Hotel Supremo
577,Bosaso,SO,72.77,broken clouds,11.2842,49.1816,Red Sea Hotel
580,Saint-Leu,RE,76.06,light rain,-21.15,55.2833,La Caz Oceane
584,Durban,ZA,79.02,scattered clouds,-29.8579,31.0292,Hilton Durban
589,Pouebo,NC,84.29,broken clouds,-20.4,164.5667,RIVÂT LODGE
593,Remanso,BR,74.8,few clouds,-9.6179,-42.0831,Hotel Mangueira
598,Lumut,MY,76.24,broken clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
603,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
605,Cap Malheureux,MU,75.69,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
607,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
613,Benguela,AO,74.79,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
615,Hualmay,PE,71.1,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
616,Sechura,PE,73.74,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
617,Port Augusta,AU,84.7,clear sky,-32.5,137.7667,Majestic Oasis Apartments
621,Tual,ID,82.29,broken clouds,-5.6667,132.75,Grand Vilia Hotel
622,Sunrise Manor,US,77.09,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
625,Gondanglegi,ID,74.71,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
626,Carupano,VE,74.86,few clouds,10.6678,-63.2585,Hotel La dorada
627,Sungairaya,ID,76.73,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
629,Bambanglipuro,ID,79.07,overcast clouds,-7.95,110.2833,Puri Brata
630,Road Town,VG,75.99,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
634,Niteroi,BR,77.59,broken clouds,-22.8833,-43.1036,Guesthouse
635,Marawi,PH,77.25,few clouds,7.9986,124.2928,Derogongan Residence
636,Kiunga,PG,87.19,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
638,San Pedro De Lloc,PE,72.03,scattered clouds,-7.4328,-79.5058,La Posada Del Valle
644,Mpulungu,ZM,70.18,overcast clouds,-8.7623,31.1141,Chela moche guest house
646,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
647,Djambala,CG,71.76,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
655,Itaituba,BR,73.98,light rain,-4.2761,-55.9836,Hotel Campos
657,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
661,Bensonville,LR,76.55,clear sky,6.4461,-10.6125,Moinga
662,Balabac,PH,81.09,broken clouds,7.9868,117.0645,Batalla’s Lodging House
663,Maumere,ID,80.24,light rain,-8.6199,122.2111,Sylvia Hotel
664,Eldorado,BR,73.08,clear sky,-23.7869,-54.2836,Villa Verde Hotel
667,Tomigusuku,JP,71.37,broken clouds,26.185,127.675,Hotel Gran View Okinawa
668,Gorontalo,ID,81.45,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
671,Sibu,MY,73.47,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
