City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
245,Luneburg,53.25,10.4,31.91,91,5,4.36,clear sky,DE,2022-02-12 00:58:30
246,Santiago De Cuba,20.0247,-75.8219,74.73,84,61,1.77,broken clouds,CU,2022-02-12 00:58:30
247,Grindavik,63.8424,-22.4338,30.15,80,0,11.5,clear sky,IS,2022-02-12 00:58:30
248,Kozhva,65.1073,57.0459,9.45,87,100,13.35,overcast clouds,RU,2022-02-12 00:58:31
249,Lagoa,39.05,-27.9833,59.45,76,100,14.65,overcast clouds,PT,2022-02-12 00:58:31
250,Lavrentiya,65.5833,-171.0,-21.39,91,11,7.78,few clouds,RU,2022-02-12 00:58:31
251,Ozernovskiy,51.5,156.5167,25.93,65,75,1.99,broken clouds,RU,2022-02-12 00:58:32
252,Morgan City,29.6994,-91.2068,60.04,41,0,6.91,clear sky,US,2022-02-12 00:55:59
253,Qasigiannguit,68.8193,-51.1922,21.43,87,100,3.83,overcast clouds,GL,2022-02-12 00:58:32
254,Svetlogorsk,52.6333,29.7333,32.07,99,100,5.77,snow,BY,2022-02-12 00:58:32
255,Kloulklubed,7.0419,134.2556,82.9,76,27,20.65,scattered clouds,PW,2022-02-12 00:55:48
256,Mahebourg,-20.4081,57.7,75.25,94,20,4.61,few clouds,MU,2022-02-12 00:57:42
257,Chicama,-7.8447,-79.1469,68.54,73,100,6.91,overcast clouds,PE,2022-02-12 00:58:33
258,Saint-Augustin,51.226,-58.6502,5.34,87,18,7.23,few clouds,CA,2022-02-12 00:58:33
259,Pachperwa,27.5167,82.65,49.96,82,0,3.74,clear sky,IN,2022-02-12 00:58:33
260,Carballo,43.213,-8.691,48.9,87,6,2.28,clear sky,ES,2022-02-12 00:58:34
261,Severo-Yeniseyskiy,60.3725,93.0408,-21.51,99,6,3.04,clear sky,RU,2022-02-12 00:58:34
262,Bonavista,48.6499,-53.1147,37.11,80,7,17.65,clear sky,CA,2022-02-12 00:58:34
263,La Ronge,55.1001,-105.2842,-9.15,70,100,1.14,overcast clouds,CA,2022-02-12 00:57:17
264,Zheleznodorozhnyy,55.7503,38.0042,32.52,97,67,6.06,light snow,RU,2022-02-12 00:58:35
265,Deputatskiy,69.3,139.9,-16.35,96,100,5.75,overcast clouds,RU,2022-02-12 00:58:35
266,Shimoda,34.6667,138.95,46.76,63,65,9.22,broken clouds,JP,2022-02-12 00:58:35
267,Vao,-22.6667,167.4833,80.33,83,100,14.29,overcast clouds,NC,2022-02-12 00:57:48
268,Hovd,48.0056,91.6419,-15.92,85,54,3.89,broken clouds,MN,2022-02-12 00:58:36
269,Alekseyevsk,57.8406,108.3492,-14.96,97,100,2.28,overcast clouds,RU,2022-02-12 00:58:36
270,Mawlaik,23.6333,94.4167,55.33,65,0,1.59,clear sky,MM,2022-02-12 00:58:36
271,College,64.8569,-147.8028,8.22,71,99,3.96,overcast clouds,US,2022-02-12 00:58:36
